Statement Number,Logical Statement
1,"((the murder did not happen in the Kitchen OR the murder happened in the Library) AND (the murder did not happen in the Conservatory OR the murder happened in the Library)),"
2,"the murder happened in the Library,"
3,"the murderer was not Mrs. Peacock,"
4,"the Knife was the murder weapon,"
5,"(the murderer was not Mrs. Peacock OR the Knife was the murder weapon),"
6,"the murder did not happen in the Conservatory,"
7,"((the murderer was not Mrs. Peacock AND the murder did not happen in the Kitchen) AND the murderer was Colonel Mustard),"
8,"the murderer was not Professor Plum,"
9,"(the murder did not happen in the Conservatory AND (the Revolver was not the murder weapon OR the Candlestick was not the murder weapon)),"
10,"the murder did not happen in the Kitchen,"
11,"((the Candlestick was not the murder weapon AND the murder did not happen in the Kitchen) OR (the murderer was not Mrs. Peacock OR NOT (the murderer was not Professor Plum))),"
12,"(the murder did not happen in the Kitchen OR NOT (the murder did not happen in the Conservatory)),"
13,"(the murder did not happen in the Kitchen AND (the murderer was not Professor Plum OR NOT ((the Revolver was not the murder weapon OR the murderer was Professor Plum)))),"
14,"(the Candlestick was not the murder weapon OR the murder happened in the Library),"
15,"((the murder did not happen in the Kitchen OR the Candlestick was the murder weapon) AND the murderer was not Professor Plum),"
16,"((the murder did not happen in the Conservatory OR the murderer was Professor Plum) AND (the murderer was not Mrs. Peacock OR the murderer was Colonel Mustard)),"
17,"((the murderer was not Colonel Mustard OR the Knife was the murder weapon) AND the murderer was not Professor Plum),"
18,"(the murder did not happen in the Library OR the murderer was Colonel Mustard),"
19,"(the murderer was not Colonel Mustard OR the murder did not happen in the Kitchen),"
20,"the murderer was Colonel Mustard,"
21,"(the murderer was Colonel Mustard AND ((the murderer was not Mrs. Peacock OR the murder happened in the Conservatory) AND the murder happened in the Library)),"
22,"(the murderer was not Professor Plum OR the murderer was Colonel Mustard),"
23,"(the Revolver was not the murder weapon OR the murderer was Mrs. Peacock),"
24,"the Candlestick was not the murder weapon,"
25,"(the murder happened in the Library AND ((the murder did not happen in the Conservatory OR the murderer was Professor Plum) AND the Candlestick was not the murder weapon)),"
26,"((the murderer was not Mrs. Peacock AND the Candlestick was not the murder weapon) AND (the murder did not happen in the Conservatory OR the Candlestick was the murder weapon)),"
27,"((the murder did not happen in the Conservatory OR the murder happened in the Library) OR (the murderer was not Professor Plum OR NOT (the murderer was not Professor Plum))),"
28,"(the murder happened in the Library AND ((the murder did not happen in the Conservatory OR the murder happened in the Kitchen) AND the murderer was not Professor Plum)),"
29,"the Revolver was not the murder weapon,"
30,"(the Revolver was not the murder weapon OR the murderer was Colonel Mustard),"
31,"(the murderer was not Professor Plum AND ((the murder did not happen in the Conservatory OR the murder happened in the Library) OR NOT (the murder did not happen in the Conservatory))),"
32,"((the murderer was not Mrs. Peacock OR NOT (the murderer was not Mrs. Peacock)) OR (the Revolver was not the murder weapon OR the murderer was not Mrs. Peacock)),"
33,"(the Knife was the murder weapon OR NOT (the murder did not happen in the Kitchen)),"
34,"(the murderer was not Professor Plum OR NOT ((the Knife was the murder weapon AND (the murderer was Colonel Mustard AND the murder did not happen in the Kitchen)))),"
35,"(the murder did not happen in the Conservatory OR the Candlestick was not the murder weapon),"
36,"(the murder did not happen in the Library OR the murderer was not Mrs. Peacock),"
